model,rebracket,cost_bps,fractional,start_capital,final_capital,net_pnl,return_pct,trades,wins,losses,win_rate,profit_factor,recenters,max_drawdown_dollars,avg_trade
trend_path,True,0.0,True,2000.0,1992.8690116398943,-7.130988360105675,-0.35654941800528084,30,20,10,66.66666666666667,0.8641616820648529,42,17.62919446056776,-0.23769961200351855
trend_path,True,0.0,False,2000.0,1994.6200000000001,-5.379999999999882,-0.268999999999997,30,20,10,66.66666666666667,0.8639352554375345,42,13.259999999999764,-0.1793333333333294
trend_path,True,1.0,True,2000.0,1980.945691291971,-19.05430870802911,-0.9527154354014522,30,19,11,63.333333333333336,0.6624443220987984,42,26.34148863535802,-0.6351436236009778
trend_path,True,1.0,False,2000.0,1985.6218780000002,-14.378121999999848,-0.7189060999999941,30,19,11,63.333333333333336,0.6626531538870458,42,19.87051799999972,-0.4792707333333294
trend_path,True,2.0,True,2000.0,1969.0913439363428,-30.90865606365719,-1.5454328031828557,30,17,13,56.666666666666664,0.49097703374724144,42,35.013761087363264,-1.030288535455242
trend_path,True,2.0,False,2000.0,1976.6237560000009,-23.376243999999133,-1.168812199999958,30,17,13,56.666666666666664,0.4913886841255582,42,26.48103599999922,-0.7792081333333294
trend_path,True,5.0,True,2000.0,1933.9382971160298,-66.06170288397016,-3.303085144198503,30,16,14,53.333333333333336,0.13693066272822868,42,66.71722847611659,-2.202056762798992
trend_path,True,5.0,False,2000.0,1949.6293900000003,-50.370609999999715,-2.5185304999999825,30,16,14,53.333333333333336,0.13723441846587195,42,50.86406999999963,-1.6790203333333296
trend_path,True,10.0,True,2000.0,1876.6937891541115,-123.30621084588847,-6.1653105422944225,30,0,30,0.0,0.0,42,123.30621084588847,-4.110207028196272
trend_path,True,10.0,False,2000.0,1904.6387800000002,-95.36121999999978,-4.768060999999991,30,0,30,0.0,0.0,42,95.36121999999978,-3.1787073333333296
trend_path,False,0.0,True,2000.0,2001.941158207794,1.9411582077939329,0.09705791038969735,10,7,3,70.0,1.1349622952048086,0,7.344252725295064,0.19411582077943318
trend_path,False,0.0,False,2000.0,2001.4799999999998,1.4799999999997908,0.07399999999999629,10,7,3,70.0,1.137291280148401,0,5.500000000000227,0.1479999999999791
trend_path,False,1.0,True,2000.0,1997.9410685304558,-2.058931469544177,-0.10294657347721392,10,6,4,60.0,0.8682081999074575,0,8.844835597545625,-0.20589314695442532
trend_path,False,1.0,False,2000.0,1998.4719720000003,-1.528027999999722,-0.0764013999999813,10,6,4,60.0,0.8696455413279035,0,6.625063999999838,-0.15280280000002094
trend_path,False,2.0,True,2000.0,1993.948173631552,-6.051826368448019,-0.30259131842239606,10,6,4,60.0,0.6482407415256245,0,11.634458534177838,-0.6051826368447998
trend_path,False,2.0,False,2000.0,1995.4639440000003,-4.5360559999996894,-0.2268027999999811,10,6,4,60.0,0.649026167963964,0,8.730127999999922,-0.453605600000021
trend_path,False,5.0,True,2000.0,1982.0125426325594,-17.987457367440584,-0.8993728683720281,10,6,4,60.0,0.17970709206054886,0,19.963159773537882,-1.7987457367440576
trend_path,False,5.0,False,2000.0,1986.4398599999995,-13.560140000000501,-0.6780070000000249,10,6,4,60.0,0.17968966455944835,0,15.045320000000402,-1.356014000000021
trend_path,False,10.0,True,2000.0,1962.262649199939,-37.737350800060995,-1.8868675400030455,10,0,10,0.0,0.0,0,37.737350800060995,-3.7737350800061007
trend_path,False,10.0,False,2000.0,1971.3997199999994,-28.600280000000566,-1.4300140000000239,10,0,10,0.0,0.0,0,28.600280000000566,-2.860028000000021
reverse_path,True,0.0,True,2000.0,1991.879776827949,-8.120223172051055,-0.4060111586025483,30,20,10,66.66666666666667,0.8480088865202916,39,21.270586292732787,-0.2706741057350267
reverse_path,True,0.0,False,2000.0,1993.8600000000001,-6.139999999999873,-0.3069999999999906,30,20,10,66.66666666666667,0.8476426799007474,39,16.019999999999754,-0.20466666666666242
reverse_path,True,1.0,True,2000.0,1979.9622764644935,-20.03772353550653,-1.001886176775324,30,19,11,63.333333333333336,0.6507896591710118,39,29.571989508263414,-0.6679241178502283
reverse_path,True,1.0,False,2000.0,1984.863614,-15.136385999999902,-0.7568193000000001,30,19,11,63.333333333333336,0.6510859718284949,39,22.330185999999685,-0.5045461999999958
reverse_path,True,2.0,True,2000.0,1968.1137159968291,-31.886284003170886,-1.594314200158542,30,17,13,56.666666666666664,0.48284632398934263,39,37.836907308600985,-1.0628761334390144
reverse_path,True,2.0,False,2000.0,1975.867228000001,-24.132771999999022,-1.206638599999954,30,17,13,56.666666666666664,0.4834748930425714,39,28.64037199999916,-0.804425733333329
reverse_path,True,5.0,True,2000.0,1932.9778330736035,-67.0221669263965,-3.35110834631982,30,16,14,53.333333333333336,0.13514403441774173,39,67.67769251854293,-2.2340722308798866
reverse_path,True,5.0,False,2000.0,1948.8780700000004,-51.121929999999566,-2.5560964999999825,30,16,14,53.333333333333336,0.13563492843134678,39,51.61538999999948,-1.7040643333333294
reverse_path,True,10.0,True,2000.0,1875.7612864476537,-124.23871355234633,-6.211935677617319,30,0,30,0.0,0.0,39,124.23871355234633,-4.141290451744887
reverse_path,True,10.0,False,2000.0,1903.8961400000003,-96.10385999999971,-4.805192999999985,30,0,30,0.0,0.0,39,96.10385999999971,-3.2034619999999965
reverse_path,False,0.0,True,2000.0,2007.2692225965575,7.2692225965574835,0.36346112982788004,12,9,3,75.0,1.5043170801510675,0,5.454667505535099,0.6057685497131358
reverse_path,False,0.0,False,2000.0,2005.4799999999998,5.479999999999791,0.27399999999999647,12,9,3,75.0,1.508348794063051,0,4.080000000000155,0.45666666666664923
reverse_path,False,1.0,True,2000.0,2002.4577956087257,2.457795608725746,0.12288978043628607,12,8,4,66.66666666666667,1.157034456875424,0,6.595189209026785,0.20481630072712687
